erroX,erroY,CoordX,CoordY
-0.0317946672439575,0.0234770774841308,2.0,6.0
-0.0547903776168823,-0.0422086715698242,2.0,6.0
1.4839646816253662,-2.9180562496185303,2.0,6.0
-0.049787163734436,0.432962417602539,2.0,6.0
-0.1101479530334472,-0.1384897232055664,2.0,6.0
3.659043788909912,3.577385902404785,2.0,6.0
-0.0881272554397583,0.1627821922302246,2.0,6.0
-0.1383390426635742,0.6150155067443848,2.0,6.0
2.726946353912353,3.006840705871582,2.0,6.0
0.1267132759094238,-0.1815872192382812,2.0,6.0
-0.3245763778686523,-0.3541722297668457,2.0,6.0
3.639568328857422,4.052138328552246,2.0,6.0
-0.2583658695220947,-0.0725665092468261,2.0,6.0
0.0890915393829345,0.2225384712219238,2.0,6.0
-0.1447657346725464,0.0819296836853027,2.0,6.0
-0.1586164236068725,-0.1995491981506347,2.0,6.0
0.3698301315307617,-0.1113748550415039,2.0,6.0
-0.1686899662017822,0.0683164596557617,2.0,6.0
0.0464696884155273,-2.600541830062866,2.0,6.0
